const_no,page_title,source_url,sn,candidate,party,evm_votes,postal_votes,total_votes,%_of_votes
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,1,DR.KAILAI RAJAN.D,Naam Tamilar Katchi,8486,129,8615,4.36
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,2,THENMOZHI.S,All India Anna Dravida Munnetra Kazhagam,49510,414,49924,25.27
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,3,NAGAJOTHI.S,Dravida Munnetra Kazhagam,64944,711,65655,33.23
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,4,RAJALAKSHMI.M,Bahujan Samaj Party,501,4,505,0.26
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,5,AYYANAR.R,Tamilaga Vettri Kazhagam,67953,627,68580,34.71
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,6,ANBALAGAN.G,All India Puratchi Thalaivar Makkal Munnettra Kazhagam,390,9,399,0.2
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,7,SANKAR.P,Puthiya Tamilagam,427,14,441,0.22
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,8,SELVAM.P B.A. B.L.,Republican Party of India (A),738,25,763,0.39
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,9,ALAPPAN.A,Independent,330,1,331,0.17
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,10,KARUPPAIAH.S,Independent,59,0,59,0.03
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,11,CHELLAM.K,Independent,160,2,162,0.08
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,12,PERUMAL.N,Independent,237,1,238,0.12
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,13,MANIKANDAN.P,Independent,515,0,515,0.26
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,14,MANOHARAN.M,Independent,349,0,349,0.18
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,15,VIJAYAPANDIYAN.M,Independent,413,2,415,0.21
130,Election Commission of India,https://results.eci.gov.in/ResultAcGenMay2026/ConstituencywiseS22130.htm,16,NOTA,None of the Above,624,18,642,0.32
