party_name,party_abbr,S.No,Constituency,Winning Candidate,Total Votes,Margin,Status
Dravida Munnetra Kazhagam - DMK,DMK,1,HARBOUR(18),P K SEKARBABU,45254,11750,14/14
Dravida Munnetra Kazhagam - DMK,DMK,2,CHEPAUK-THIRUVALLIKENI(19),UDHAYANIDHI STALIN,62992,7140,17/17
Dravida Munnetra Kazhagam - DMK,DMK,3,AMBUR(48),VILWANATHAN. A.C.,74102,7131,24/24
Dravida Munnetra Kazhagam - DMK,DMK,4,VEPPANAHALLI(54),SRINIVASAN.P.S,74691,138,27/27
Dravida Munnetra Kazhagam - DMK,DMK,5,TIRUVANNAMALAI(63),VELU. E.V,88273,2455,23/23
Dravida Munnetra Kazhagam - DMK,DMK,6,VANDAVASI(69),AMBETHKUMAR. S,63805,3333,21/21
Dravida Munnetra Kazhagam - DMK,DMK,7,VANUR(73),GOWTHAM D,68873,7034,23/23
Dravida Munnetra Kazhagam - DMK,DMK,8,VILUPPURAM(74),LAKSHMANAN R,72982,4119,24/24
Dravida Munnetra Kazhagam - DMK,DMK,9,ULUNDURPETTAI(77),VASANTHAVEL G R,98471,2277,29/29
Dravida Munnetra Kazhagam - DMK,DMK,10,RISHIVANDIYAM(78),KARTHIKEYAN K,89711,4862,25/25
Dravida Munnetra Kazhagam - DMK,DMK,11,GUDALUR(109),DHRAVIDAMANI.M,65590,22833,18/18
Dravida Munnetra Kazhagam - DMK,DMK,12,COONOOR(110),M. RAJU,50470,8099,18/18
Dravida Munnetra Kazhagam - DMK,DMK,13,COIMBATORE (SOUTH)(120),V SENTHILBALAJI,59724,2271,20/20
Dravida Munnetra Kazhagam - DMK,DMK,14,POLLACHI(123),K. NITHYANANDHAN,62013,4627,22/22
Dravida Munnetra Kazhagam - DMK,DMK,15,VALPARAI(124),KUTTY (ALIAS) SUDHAKAR. A,54671,9371,19/19
Dravida Munnetra Kazhagam - DMK,DMK,16,UDUMALAIPETTAI(125),JAYAKUMAR M.,68549,2882,22/22
Dravida Munnetra Kazhagam - DMK,DMK,17,MADATHUKULAM(126),R JAYARAMAKRISHNAN,70458,15968,22/22
Dravida Munnetra Kazhagam - DMK,DMK,18,ODDANCHATRAM(128),SAKKARAPANI. R,93099,43249,26/26
Dravida Munnetra Kazhagam - DMK,DMK,19,ATHOOR(129),I. PERIASAMY,106240,22368,26/26
Dravida Munnetra Kazhagam - DMK,DMK,20,DINDIGUL(132),SENTHILKUMAR. I.P,74489,1131,26/26
Dravida Munnetra Kazhagam - DMK,DMK,21,VEDASANDUR(133),SAMINATHAN. T,84948,10063,27/27
Dravida Munnetra Kazhagam - DMK,DMK,22,ARAVAKURICHI(134),ELANGO. R,70827,19382,22/22
Dravida Munnetra Kazhagam - DMK,DMK,23,KULITHALAI(137),SURIYANUR. A. CHANDRAN,68138,579,21/21
Dravida Munnetra Kazhagam - DMK,DMK,24,TIRUCHIRAPPALLI (WEST)(140),K.N.NEHRU,88235,4786,24/24
Dravida Munnetra Kazhagam - DMK,DMK,25,MANACHANALLUR(144),KATHIRAVAN. S,81447,12364,22/22
Dravida Munnetra Kazhagam - DMK,DMK,26,KUNNAM(148),SIVASANKAR. S.S,87237,15557,25/25
Dravida Munnetra Kazhagam - DMK,DMK,27,TITTAKUDI(151),GANESAN C.V,63106,2629,21/21
Dravida Munnetra Kazhagam - DMK,DMK,28,KURINJIPADI(156),M.R.K.PANNEERSELVAM,76695,7589,20/20
Dravida Munnetra Kazhagam - DMK,DMK,29,CHIDAMBARAM(158),THAMIMUN ANSARI. M,69739,5747,24/24
Dravida Munnetra Kazhagam - DMK,DMK,30,SIRKAZHI(160),SENTHILSELVAN.R,71449,11417,23/23
Dravida Munnetra Kazhagam - DMK,DMK,31,POOMPUHAR(162),NIVEDHA M MURUGAN,81096,8260,25/25
Dravida Munnetra Kazhagam - DMK,DMK,32,NAGAPATTINAM(163),M.H.JAWAHIRULLAH,56305,9781,19/19
Dravida Munnetra Kazhagam - DMK,DMK,33,THIRUVARUR(168),KALAIVANAN POONDI K,93408,18148,25/25
Dravida Munnetra Kazhagam - DMK,DMK,34,THIRUVIDAIMARUDUR(170),GOVI.CHEZHIAAN,79951,14116,25/25
Dravida Munnetra Kazhagam - DMK,DMK,35,THIRUVAIYARU(173),DURAI. CHANDRASEKARAN,80425,8555,25/25
Dravida Munnetra Kazhagam - DMK,DMK,36,ORATHANADU(175),R. VAITHILINGAM,86759,35028,24/24
Dravida Munnetra Kazhagam - DMK,DMK,37,PATTUKKOTTAI(176),ANNADURAI K,65963,13754,24/24
Dravida Munnetra Kazhagam - DMK,DMK,38,PERAVURANI(177),ASHOKKUMAR. N,60919,3162,21/21
Dravida Munnetra Kazhagam - DMK,DMK,39,PUDUKKOTTAI(180),V. MUTHURAJA,66825,1867,22/22
Dravida Munnetra Kazhagam - DMK,DMK,40,THIRUMAYAM(181),REGUPATHY.S,58201,1492,22/22
Dravida Munnetra Kazhagam - DMK,DMK,41,ALANGUDI(182),SIVA.V.MEYYANATHAN,64929,12977,21/21
Dravida Munnetra Kazhagam - DMK,DMK,42,THIRUMANGALAM(196),MANIMARAN.M,88291,23807,26/26
Dravida Munnetra Kazhagam - DMK,DMK,43,ANDIPATTI(198),MAHARAJAN.A,74324,9554,25/25
Dravida Munnetra Kazhagam - DMK,DMK,44,BODINAYAKANUR(200),PANNEERSELVAM.O,85206,6805,25/25
Dravida Munnetra Kazhagam - DMK,DMK,45,SATTUR(204),KADARKARAIRAJ. A,62060,5989,21/21
