party_name,party_abbr,S.No,Constituency,Winning Candidate,Total Votes,Margin,Status
Tamilaga Vettri Kazhagam - TVK,TVK,1,GUMMIDIPOONDI(1),S.VIJAYAKUMAR,94320,27945,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,2,PONNERI(2),DR.RAVI.M.S,110439,55768,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,3,THIRUVALLUR(4),DR. T. ARUNKUMAR,92190,24760,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,4,POONAMALLEE(5),PRAKASAM.R,161309,72740,25/25
Tamilaga Vettri Kazhagam - TVK,TVK,5,AVADI(6),R.RAMESH KUMAR,180384,76311,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,6,MADURAVOYAL(7),RHEVANTH CHARAN,141725,61509,27/27
Tamilaga Vettri Kazhagam - TVK,TVK,7,AMBATTUR(8),BALAMURUGAN.G,133339,58781,28/28
Tamilaga Vettri Kazhagam - TVK,TVK,8,MADAVARAM(9),M.L.VIJAYPRABHU,190462,94985,19/19
Tamilaga Vettri Kazhagam - TVK,TVK,9,THIRUVOTTIYUR(10),SENTHIL KUMAR. N,110067,53564,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,10,DR.RADHAKRISHNAN NAGAR(11),N. MARIE WILSON,97800,49668,18/18
Tamilaga Vettri Kazhagam - TVK,TVK,11,PERAMBUR(12),C. JOSEPH VIJAY,120365,53715,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,12,KOLATHUR(13),V. S. BABU,82997,8795,22/22
Tamilaga Vettri Kazhagam - TVK,TVK,13,VILLIVAKKAM(14),AADHAV ARJUNA,66445,17302,19/19
Tamilaga Vettri Kazhagam - TVK,TVK,14,THIRU-VI-KA-NAGAR(15),M. R. PALLAVI,69125,22333,17/17
Tamilaga Vettri Kazhagam - TVK,TVK,15,EGMORE(16),RAJMOHAN,53901,10804,15/15
Tamilaga Vettri Kazhagam - TVK,TVK,16,ROYAPURAM(17),K.V. VIJAY DAMU,59091,14249,15/15
Tamilaga Vettri Kazhagam - TVK,TVK,17,THOUSAND LIGHTS(20),PRABHAKAR.J.C.D,58965,15141,18/18
Tamilaga Vettri Kazhagam - TVK,TVK,18,ANNA NAGAR(21),V.K.RAMKUMAR,71375,21363,20/20
Tamilaga Vettri Kazhagam - TVK,TVK,19,VIRUGAMPAKKAM(22),SABARINATHAN.R,76092,27086,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,20,SAIDAPET(23),ARUL PRAKASAM. M,81205,28514,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,21,THIYAGARAYANAGAR(24),ANAND N,51632,13027,18/18
Tamilaga Vettri Kazhagam - TVK,TVK,22,MYLAPORE(25),VENKATARAMANAN. P,70070,28972,21/21
Tamilaga Vettri Kazhagam - TVK,TVK,23,VELACHERY(26),KUMAR. R,80430,33305,23/23
Tamilaga Vettri Kazhagam - TVK,TVK,24,SHOZHINGANALLUR(27),ECR P SARAVANAN,220382,96780,33/33
Tamilaga Vettri Kazhagam - TVK,TVK,25,ALANDUR(28),M.HARISH,112205,29609,31/31
Tamilaga Vettri Kazhagam - TVK,TVK,26,SRIPERUMBUDUR(29),THENNARASU.K,147611,54246,33/33
Tamilaga Vettri Kazhagam - TVK,TVK,27,PALLAVARAM(30),J.KAMATCHI,133611,54693,35/35
Tamilaga Vettri Kazhagam - TVK,TVK,28,TAMBARAM(31),D.SARATHKUMAR,118967,35621,39/39
Tamilaga Vettri Kazhagam - TVK,TVK,29,CHENGALPATTU(32),S. THIYAGARAJAN,137136,35641,40/40
Tamilaga Vettri Kazhagam - TVK,TVK,30,THIRUPORUR(33),B.VIJAYARAJ,110095,39351,33/33
Tamilaga Vettri Kazhagam - TVK,TVK,31,UTHIRAMERUR(36),MUNIRATHINAM.J,84917,14223,24/24
Tamilaga Vettri Kazhagam - TVK,TVK,32,KANCHEEPURAM(37),R.V. RANJITHKUMAR,91350,15488,26/26
Tamilaga Vettri Kazhagam - TVK,TVK,33,ARAKKONAM(38),V. GANDHIRAJ,73776,23121,22/22
Tamilaga Vettri Kazhagam - TVK,TVK,34,SHOLINGUR(39),G.KAPIL,84506,5686,26/26
