party_abbr,party_name,seats_won
TVK,Tamilaga Vettri Kazhagam - TVK,108
DMK,Dravida Munnetra Kazhagam - DMK,59
ADMK,All India Anna Dravida Munnetra Kazhagam - ADMK,47
INC,Indian National Congress - INC,5
PMK,Pattali Makkal Katchi - PMK,4
IUML,Indian Union Muslim League - IUML,2
CPI,Communist Party of India - CPI,2
VCK,Viduthalai Chiruthaigal Katchi - VCK,2
CPI(M),Communist Party of India (Marxist) - CPI(M),2
BJP,Bharatiya Janata Party - BJP,1
DMDK,Desiya Murpokku Dravida Kazhagam - DMDK,1
AMMKMNKZ,Amma Makkal Munnettra Kazagam - AMMKMNKZ,1
TOTAL,Total,234
